Author: Shuangge Ma, Count: 9
Author: Jieping Ye, Count: 7
Author: Jie Wang, Count: 6
Author: Robert Tibshirani, Count: 5
Author: Hui Zou, Count: 5
Author: Mengyun Wu, Count: 4
Author: Jian Huang, Count: 4
Author: null null, Count: 4
Author: Yi Yang, Count: 3
Author: C. F. Jeff Wu, Count: 3
Author: Simon Mak, Count: 3
Author: Benjamin A. Logsdon, Count: 3
Author: Yuehua Cui, Count: 3
Author: Cen Wu, Count: 3
Author: Fei Wang, Count: 3
Author: Maksim Butsenko, Count: 2
Author: Johan Sward, Count: 2
Author: Stephen Reid, Count: 2
Author: Baoxin Li, Count: 2
Author: Ruiwen Zhang, Count: 2
Author: Eric P. Xing, Count: 2
Author: Tao Yang, Count: 2
Author: Peter J. Ramadge, Count: 2
Author: Zoran Obradovic, Count: 2
Author: G. Ragozini, Count: 2
Author: Jun Liu, Count: 2
Author: Yashu Liu, Count: 2
Author: Hua Zhou, Count: 2
Author: Nadia Pérot, Count: 2
Author: Andreas Jakobsson, Count: 2
Author: Céline Helbert, Count: 2
Author: Jacob Bien, Count: 2
Author: Seunghak Lee, Count: 2
Author: Simon Nanty, Count: 2
Author: Ning Hao, Count: 2
Author: Yangguang Zang, Count: 2
Author: Clémentine Prieur, Count: 2
Author: Doosung Hwang, Count: 2
Author: Gautam Dasarathy, Count: 2
Author: F. Palumbo, Count: 2
Author: Jing Li, Count: 2
Author: Chandan K. Reddy, Count: 2
Author: Yang Li, Count: 2
Author: M. R. D'Esposito, Count: 2
Author: Su-In Lee, Count: 2
Author: Kimberly M. Moore, Count: 2
Author: Sangin Lee, Count: 2
Author: Sanguo Zhang, Count: 2
Author: Shuiwang Ji, Count: 2
Author: Richard G. Baraniuk, Count: 2
Author: Jin-Jia Wang, Count: 2
Author: Qiongjie Tian, Count: 2
Author: Parikshit Shah, Count: 2
Author: Jeremy Bloxham, Count: 2
Author: Jie Xiong, Count: 2
Author: Zhitong Bing, Count: 2
Author: Hao Helen Zhang, Count: 2
Author: Paul M. Thompson, Count: 2
Author: Halima Bensmail, Count: 2
Author: Michael LeBlanc, Count: 2
Author: Hongyu Zhao, Count: 2
Author: Eric C. Chi, Count: 2
Author: Hoai An Le Thi, Count: 2
Author: Amandine Marrel, Count: 2
Author: Hong Yan, Count: 2
Author: Mikko J. Sillanpää, Count: 2
Author: Holly Janes, Count: 1
Author: Xiaotong Jiang, Count: 1
Author: Peng Wei, Count: 1
Author: Aurélie Lozano, Count: 1
Author: Mani Vembar, Count: 1
Author: A. J. Rothman, Count: 1
Author: Patrick Breheny, Count: 1
Author: Bo-Yu Chu, Count: 1
Author: Gabriel E. Hoffman, Count: 1
Author: Karolina A. Aberg, Count: 1
Author: Kenneth S. Knox, Count: 1
Author: Anita Crescenzi, Count: 1
Author: Divyanshu Vats, Count: 1
Author: Eigil Samset, Count: 1
Author: P Monica Lind, Count: 1
Author: Xavier Basagaña, Count: 1
Author: Damien Portevin, Count: 1
Author: Sarah D. Isaacs, Count: 1
Author: Chirag J. Patel, Count: 1
